symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,gsm_stage,asm,exclude_reason,gate_reason
AARTIPHARM,Aarti Pharmalabs Limited,EQ,,673.8,6404.0,11.692,5.805,12548.0,164819.0,20.0,0,0.0,25,25,2023-01-30,1271.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AARTISURF,Aarti Surfactants Limited,EQ,,381.6,,0.328,0.084,449.0,8557.0,20.0,0,0.0,25,25,2020-07-14,2201.0,False,False,2026-07-24,,,illiquid: Rs33 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs33 lakh median daily turnover (floor Rs50 lakh)
AARVI,Aarvi Encon Limited,EQ,,154.89,,0.467,0.096,751.0,31855.0,20.0,0,0.0,25,25,2020-06-24,2221.0,False,False,2026-07-24,,,illiquid: Rs47 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs47 lakh median daily turnover (floor Rs50 lakh)
AASTHA,Aastha Spintex Limited,EQ,,102.62,,182.678,53.838,59866.0,17809358.0,20.0,2,0.4,5,5,2026-07-06,18.0,False,False,2026-07-24,,,"listed 18d ago — under a year of history, no trend to read; closed at circuit on 40% of sessions — a stop cannot fill in a locked market","listed 18d ago — under a year of history, no trend to read; closed at circuit on 40% of sessions — a stop cannot fill in a locked market"
AAVAS,Aavas Financiers Limited,EQ,,1379.0,11942.0,10.109,3.877,12000.0,67799.0,20.0,0,0.0,25,25,2018-10-08,2846.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABB,ABB India Limited,EQ,,7375.5,156293.0,191.785,75.649,29010.0,258917.0,,0,0.0,25,25,1995-02-08,11489.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABBOTINDIA,Abbott India Limited,EQ,,28005.0,59511.0,30.888,12.657,4582.0,11100.0,20.0,0,0.0,25,25,2010-01-08,6041.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABCAPITAL,Aditya Birla Capital Limited,EQ,,393.85,107762.0,157.952,62.414,48398.0,4003937.0,,0,0.0,25,25,2017-09-01,3248.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABCOTS,A B Cotspin India Limited,EQ,,200.38,,0.502,0.075,745.0,23848.0,20.0,0,0.0,25,25,2025-09-24,303.0,False,False,2026-07-24,,,"listed 303d ago — under a year of history, no trend to read","listed 303d ago — under a year of history, no trend to read"
ABDL,Allied Blenders and Distillers Limited,EQ,,620.75,18325.0,24.603,7.779,16939.0,393642.0,10.0,0,0.0,25,25,2024-07-02,752.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,,56.25,6865.0,18.807,9.32,15319.0,3087993.0,20.0,0,0.0,25,25,2013-07-17,4755.0,True,False,2026-07-24,,,"not penny/nano — too big on both arms: a Rs56 share of a Rs6,865 Cr company (the price arm's ceiling is Rs5,000 Cr — a cheap share is not a small company)",
ABGSEC,,,,113.32,,0.003,0.0,7.0,276.0,20.0,0,0.0,19,19,,,False,False,2026-07-24,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs0 lakh median daily turnover (floor Rs50 lakh); only 7 trades/day median — one operator's book, not a market","not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs0 lakh median daily turnover (floor Rs50 lakh); only 7 trades/day median — one operator's book, not a market"
ABINFRA,A B Infrabuild Limited,EQ,price+mcap,10.32,659.0,1.78,0.301,1952.0,1624732.0,20.0,0,0.0,25,25,2024-11-08,623.0,False,False,2026-07-24,,,,
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,,94.01,11486.0,6.03,1.87,8314.0,629413.0,20.0,0,0.0,25,25,2025-06-23,396.0,True,False,2026-07-24,,,"not penny/nano — too big on both arms: a Rs94 share of a Rs11,486 Cr company (the price arm's ceiling is Rs5,000 Cr — a cheap share is not a small company)",
ABMINTLLTD,ABM International Limited,EQ,price,41.02,,0.001,0.0,9.5,296.0,10.0,0,0.0,22,22,2021-09-09,1779.0,False,False,2026-07-24,,,"illiquid: Rs0 lakh median daily turnover (floor Rs50 lakh); only 9 trades/day median — one operator's book, not a market","illiquid: Rs0 lakh median daily turnover (floor Rs50 lakh); only 9 trades/day median — one operator's book, not a market"
ABMKNO,ABM Knowledgeware Limited,EQ,,190.11,,0.066,0.001,62.0,3108.0,20.0,0,0.0,25,25,2026-04-20,95.0,False,False,2026-07-24,,,"listed 95d ago — under a year of history, no trend to read; illiquid: Rs7 lakh median daily turnover (floor Rs50 lakh); only 62 trades/day median — one operator's book, not a market","listed 95d ago — under a year of history, no trend to read; illiquid: Rs7 lakh median daily turnover (floor Rs50 lakh); only 62 trades/day median — one operator's book, not a market"
ABREL,Aditya Birla Real Estate Limited,EQ,,1374.2,15700.0,21.418,9.424,11902.0,153424.0,20.0,0,0.0,25,25,2003-06-27,8428.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABSL10BANK,,,,168.46,,0.044,0.005,36.0,2532.0,20.0,0,0.0,25,25,,,False,False,2026-07-24,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs4 lakh median daily turnover (floor Rs50 lakh); only 36 trades/day median — one operator's book, not a market","not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs4 lakh median daily turnover (floor Rs50 lakh); only 36 trades/day median — one operator's book, not a market"
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,,1017.0,29418.0,39.131,14.236,24299.0,341944.0,20.0,0,0.0,25,25,2021-10-11,1747.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ABSLBANETF,,,price,58.25,,0.443,0.055,352.0,74599.0,20.0,0,0.0,25,25,,,False,False,2026-07-24,,,not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs44 lakh median daily turnover (floor Rs50 lakh),not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs44 lakh median daily turnover (floor Rs50 lakh)
ABSLLIQUID,,,,1000.0,,0.404,0.088,27.0,4042.0,5.0,0,0.0,25,25,,,False,False,2026-07-24,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); 5% circuit band — cannot exit on bad news; illiquid: Rs40 lakh median daily turnover (floor Rs50 lakh); only 27 trades/day median — one operator's book, not a market","not in the NSE equity master (ETF / REIT / InvIT — not a company); 5% circuit band — cannot exit on bad news; illiquid: Rs40 lakh median daily turnover (floor Rs50 lakh); only 27 trades/day median — one operator's book, not a market"
ABSLMSCIN,,,price,29.13,,0.014,0.0,28.0,4683.0,20.0,0,0.0,25,25,,,False,False,2026-07-24,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 28 trades/day median — one operator's book, not a market","not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 28 trades/day median — one operator's book, not a market"
ABSLNN50ET,,,price,75.56,,0.047,0.03,173.0,6220.0,20.0,0,0.0,25,25,,,False,False,2026-07-24,,,"not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs5 lakh median daily turnover (floor Rs50 lakh); only 173 trades/day median — one operator's book, not a market","not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs5 lakh median daily turnover (floor Rs50 lakh); only 173 trades/day median — one operator's book, not a market"
ABSLPSE,,,price,10.33,,0.133,0.048,377.0,129454.0,20.0,0,0.0,25,25,,,False,False,2026-07-24,,,not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs13 lakh median daily turnover (floor Rs50 lakh),not in the NSE equity master (ETF / REIT / InvIT — not a company); illiquid: Rs13 lakh median daily turnover (floor Rs50 lakh)
ACC,ACC Limited,EQ,,1340.9,26174.0,18.455,9.491,12677.0,136931.0,20.0,0,0.0,25,25,1996-11-20,10838.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ACCELYA,Accelya Solutions India Limited,EQ,,1158.9,1730.0,0.814,0.481,806.0,7198.0,20.0,0,0.0,25,25,1999-12-01,9732.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ACCURACY,Accuracy Shipping Limited,BE,price,5.47,,0.046,0.029,284.5,83165.5,5.0,0,0.0,8,8,2020-12-11,2051.0,False,False,2026-07-01,,,"series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; illiquid: Rs5 lakh median daily turnover (floor Rs50 lakh); only 284 trades/day median — one operator's book, not a market","series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; illiquid: Rs5 lakh median daily turnover (floor Rs50 lakh); only 284 trades/day median — one operator's book, not a market"
ACE,Action Construction Equipment Limited,EQ,,1039.4,11788.0,25.064,15.215,17231.0,250443.0,20.0,0,0.0,25,25,2006-09-26,7241.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ACEINTEG,Ace Integrated Solutions Limited,EQ,price,19.7,,0.01,0.002,56.0,4865.0,20.0,0,0.0,25,25,2022-11-04,1358.0,False,False,2026-07-24,,,"illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 56 trades/day median — one operator's book, not a market","illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 56 trades/day median — one operator's book, not a market"
ACI,Archean Chemical Industries Limited,EQ,,554.85,6662.0,7.088,2.276,9540.0,134137.0,20.0,0,0.0,25,25,2022-11-21,1341.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ACL,Andhra Cements Limited,EQ,price,47.06,,0.058,0.021,212.0,11417.0,10.0,0,0.0,25,25,2023-05-10,1171.0,False,False,2026-07-24,,,"illiquid: Rs6 lakh median daily turnover (floor Rs50 lakh); only 212 trades/day median — one operator's book, not a market","illiquid: Rs6 lakh median daily turnover (floor Rs50 lakh); only 212 trades/day median — one operator's book, not a market"
ACMESOLAR,Acme Solar Holdings Limited,EQ,,365.85,25861.0,63.434,25.026,37996.0,1611990.0,10.0,0,0.0,25,25,2024-11-13,618.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ACSTECH,ACS Technologies Limited,EQ,price,40.82,,0.752,0.129,776.0,173837.0,5.0,4,0.16,25,25,2026-04-20,95.0,False,False,2026-07-24,,,"5% circuit band — cannot exit on bad news; listed 95d ago — under a year of history, no trend to read","5% circuit band — cannot exit on bad news; listed 95d ago — under a year of history, no trend to read"
ACUTAAS,Acutaas Chemicals Limited,EQ,,3259.5,26686.0,109.116,59.095,29010.0,310324.0,20.0,0,0.0,25,25,2021-09-14,1774.0,True,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging"
ADANIENSOL,Adani Energy Solutions Limited,EQ,,1702.2,204440.0,392.896,175.331,64946.0,2410451.0,,0,0.0,25,25,2015-07-31,4011.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADANIENT,Adani Enterprises Limited,EQ,,3026.4,409597.0,527.469,303.871,68733.0,1726452.0,,0,0.0,25,25,1997-06-04,10642.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADANIGREEN,Adani Green Energy Limited,EQ,,1395.1,229773.0,391.323,251.744,57533.0,2508984.0,,0,0.0,25,25,2018-06-18,2958.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,,1768.3,407409.0,298.656,139.113,68718.0,1645113.0,,0,0.0,25,25,2007-11-27,6814.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADANIPOWER,Adani Power Limited,EQ,,213.66,412037.0,623.454,387.546,114714.0,27392120.0,,0,0.0,25,25,2009-08-20,6182.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADFFOODS,ADF Foods Limited,EQ,,307.05,3373.0,5.594,2.189,6294.0,182179.0,20.0,0,0.0,25,25,2010-09-15,5791.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADL,Archidply Decor Limited,EQ,price,73.49,,0.006,0.0,26.5,802.5,20.0,0,0.0,24,24,2020-10-01,2122.0,False,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 26 trades/day median — one operator's book, not a market","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 26 trades/day median — one operator's book, not a market"
ADOR,Ador Welding Limited,EQ,,1493.9,2600.0,4.417,1.305,3172.0,33489.0,20.0,0,0.0,25,25,1995-05-10,11398.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
ADROITINFO,Adroit Infotech Limited,EQ,price,9.25,,0.016,0.001,94.0,16994.0,20.0,0,0.0,25,25,1997-08-13,10572.0,False,False,2026-07-24,,,"illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 94 trades/day median — one operator's book, not a market","illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 94 trades/day median — one operator's book, not a market"
ADSL,Allied Digital Services Limited,EQ,mcap,118.14,668.0,1.393,1.02,2414.0,116301.0,20.0,0,0.0,25,25,2007-07-25,6939.0,False,False,2026-07-24,,,,
ADVAIT,Advait Energy Transitions Limited,EQ,,2252.4,2465.0,7.45,4.709,5256.0,34575.0,20.0,0,0.0,25,25,2026-01-20,185.0,False,False,2026-07-24,,,"listed 185d ago — under a year of history, no trend to read","listed 185d ago — under a year of history, no trend to read"
ADVANCE,Advance Agrolife Limited,EQ,mcap,109.89,706.0,2.936,1.019,2008.0,264846.0,20.0,0,0.0,25,25,2025-10-08,289.0,False,False,2026-07-24,,,"listed 289d ago — under a year of history, no trend to read","listed 289d ago — under a year of history, no trend to read"
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,price,51.12,,0.125,0.038,526.0,23561.0,20.0,0,0.0,25,25,2007-06-25,6969.0,False,False,2026-07-24,,,illiquid: Rs12 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs12 lakh median daily turnover (floor Rs50 lakh)
ADVENTHTL,Advent Hotels International Limited,EQ,mcap,142.31,768.0,1.948,0.67,3207.0,132888.0,20.0,0,0.0,25,25,2025-11-13,253.0,False,False,2026-07-24,,,"listed 253d ago — under a year of history, no trend to read","listed 253d ago — under a year of history, no trend to read"
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,,317.35,3556.0,7.152,2.852,6197.0,193399.0,20.0,0,0.0,25,25,2016-08-01,3644.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AEGISLOG,Aegis Logistics Limited,EQ,,1349.6,46522.0,365.329,75.339,73152.0,2812560.0,10.0,1,0.04,25,25,1996-04-03,11069.0,True,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging"
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,,292.64,28523.0,53.924,5.669,29357.0,1932179.0,10.0,0,0.0,25,25,2025-06-02,417.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AEPL,Artemis Electricals and Projects Limited,EQ,price,14.96,,0.017,0.005,104.0,9965.0,10.0,0,0.0,25,25,2026-03-12,134.0,False,False,2026-07-24,,,"listed 134d ago — under a year of history, no trend to read; illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 104 trades/day median — one operator's book, not a market","listed 134d ago — under a year of history, no trend to read; illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 104 trades/day median — one operator's book, not a market"
AEQUS,Aequs Limited,EQ,,229.23,15864.0,141.039,34.633,51581.0,6066083.0,20.0,0,0.0,25,25,2025-12-10,226.0,True,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; listed 226d ago — under a year of history, no trend to read","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; listed 226d ago — under a year of history, no trend to read"
AEROENTER,Aeroflex Enterprises Limited,EQ,,127.3,1441.0,12.105,3.248,9105.0,873462.0,20.0,0,0.0,25,25,2022-11-21,1341.0,False,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging"
AEROFLEX,Aeroflex Industries Limited,EQ,,420.85,5569.0,63.485,21.37,24705.0,1363185.0,10.0,1,0.04,25,25,2023-08-31,1058.0,False,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging"
AERONEU,Aeroflex Neu Limited,EQ,price,85.38,,0.468,0.354,553.0,51762.0,20.0,0,0.0,25,25,2023-01-12,1289.0,False,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; illiquid: Rs47 lakh median daily turnover (floor Rs50 lakh)","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; illiquid: Rs47 lakh median daily turnover (floor Rs50 lakh)"
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,EQ,,187.84,1950.0,15.289,5.941,3619.0,795916.0,5.0,0,0.0,5,5,2026-04-02,113.0,False,False,2026-07-24,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news; listed 113d ago — under a year of history, no trend to read","ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news; listed 113d ago — under a year of history, no trend to read"
AETHER,Aether Industries Limited,EQ,,1427.5,18945.0,37.696,13.923,27217.0,278645.0,20.0,0,0.0,25,25,2022-06-03,1512.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AFCONS,Afcons Infrastructure Limited,EQ,,285.95,11480.0,11.478,5.436,8963.0,369030.0,20.0,0,0.0,25,25,2024-11-04,627.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AFFLE,Affle 3i Limited,EQ,,1445.3,20621.0,27.946,14.728,15894.0,191012.0,20.0,0,0.0,25,25,2019-08-08,2542.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AFIL,Akme Fintrade (India) Limited,EQ,price+mcap,9.21,405.0,1.007,0.728,824.0,1056955.0,10.0,0,0.0,5,5,2024-06-26,758.0,False,False,2026-07-24,,,,
AFSL,Abans Financial Services Limited,EQ,,201.0,,0.107,0.012,71.0,5328.0,20.0,0,0.0,25,25,2022-12-23,1309.0,False,False,2026-07-24,,,"illiquid: Rs11 lakh median daily turnover (floor Rs50 lakh); only 71 trades/day median — one operator's book, not a market","illiquid: Rs11 lakh median daily turnover (floor Rs50 lakh); only 71 trades/day median — one operator's book, not a market"
AGARIND,Agarwal Industrial Corporation Limited,EQ,mcap,477.7,715.0,2.068,0.983,2021.0,41197.0,20.0,0,0.0,25,25,2014-05-26,4442.0,False,False,2026-07-24,,,,
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,,478.9,15139.0,3.144,1.171,8170.0,66499.0,20.0,0,0.0,25,25,2025-02-04,535.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AGI,AGI Greenpac Limited,EQ,,672.85,4353.0,5.325,3.007,4559.0,76033.0,20.0,0,0.0,25,25,2000-05-31,9550.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AGIIL,Agi Infra Limited,EQ,,311.75,3897.0,71.877,13.284,11639.0,2108704.0,20.0,0,0.0,25,25,2024-07-15,739.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AGL,Allcargo Global Limited,EQ,price,12.58,,5.583,3.182,10085.5,4263356.5,10.0,0,0.0,6,6,2026-07-03,21.0,False,False,2026-07-24,,,"listed 21d ago — under a year of history, no trend to read","listed 21d ago — under a year of history, no trend to read"
AGROPHOS,Agro Phos India Limited,EQ,price,29.04,,0.022,0.005,115.0,7519.0,20.0,0,0.0,25,25,2019-03-08,2695.0,False,False,2026-07-24,,,"illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 115 trades/day median — one operator's book, not a market","illiquid: Rs2 lakh median daily turnover (floor Rs50 lakh); only 115 trades/day median — one operator's book, not a market"
AHCL,Anlon Healthcare Limited,EQ,price,15.01,,5.642,2.271,5436.0,3489328.0,20.0,0,0.0,25,25,2025-09-03,324.0,False,False,2026-07-24,,,"listed 324d ago — under a year of history, no trend to read","listed 324d ago — under a year of history, no trend to read"
AHLADA,Ahlada Engineers Limited,EQ,price,38.01,,0.027,0.009,106.0,7014.0,20.0,0,0.0,25,25,2021-01-28,2003.0,False,False,2026-07-24,,,"illiquid: Rs3 lakh median daily turnover (floor Rs50 lakh); only 106 trades/day median — one operator's book, not a market","illiquid: Rs3 lakh median daily turnover (floor Rs50 lakh); only 106 trades/day median — one operator's book, not a market"
